"","x"
"V29",23.5970196055778
"V49",31.382763135273
"V65",20.5191513034884
"V106",31.4518219331705
"V129",27.0752094746825
"V154",23.3642263752004
"V242",23.0887566186965
"V282",22.1021545559268
"V283",0.613151175824664
"V319",25.9023022842477
"V337",21.2544028716837
"V339",28.8080916671114
"V379",29.3257619308978
"V434",20.7726420934525
"V443",26.8483370746823
"V452",22.4816535954844
"V454",22.628023866901
"V456",19.2395529717524
"V473",23.3369833340152
"V476",26.3512074694533
"V494",20.8166269086282
